Ep No.,Name,Type,Date
138,Whereabouts of the Island Treasure! Attack of the Zenny Pirates!,Filler,2002-12-22
139,Legend of the Rainbow Mist! Old Man Henzo of the Luluka Island!,Filler,2003-01-05
140,Residents of the Land of Eternity! The Pumpkin Pirates!,Filler,2003-01-12
141,Thoughts of Home! The Pirate Graveyard of No Escape!,Filler,2003-01-19
142,An Inevitable Melee! Wetton's Schemes and the Rainbow Tower!,Filler,2003-01-26
143,"And so, the Legend Begins! To the Other Side of the Rainbow!",Filler,2003-02-02
144,"Caught Log! The King of Salvagers, Masira!",Manga Canon,2003-02-09
145,Monsters Appear! Don't Mess With the Whitebeard Pirates!,Manga Canon,2003-02-16
146,"Quit Dreaming! Mock Town, the Town of Ridicule!",Manga Canon,2003-02-23
147,Distinguished Pirates! A Man Who Talks of Dreams and the King of Undersea Search!,Manga Canon,2003-03-09
148,Legendary Family! Noland the Liar!,Manga Canon,2003-03-16
149,Steer for the Clouds! Capture the South Bird!,Manga Canon,2003-03-23
150,Dreams Don't Come True?! Bellamy vs. the Saruyama Alliance,Manga Canon,2003-04-13
151,100 Million Man! World's Greatest Power and Pirate Blackbeard,Manga Canon,2003-04-20
152,Take to the Sky! Ride the Knock-up Stream!,Manga Canon,2003-04-27
153,Sail the White Sea! The Sky Knight and the Gate in the Clouds!,Manga Canon,2003-05-04
154,"Godland, Skypiea! Angels on a Beach of Clouds",Manga Canon,2003-05-11
155,The Forbidden Sacred Ground! The Island Where God Lives and Heaven's Judgment!,Manga Canon,2003-05-18
156,Already Criminals?! Skypiea's Upholder of the Law!,Manga Canon,2003-06-08
157,Is Escape Possible?!? God's Challenge Is Set in Motion!,Manga Canon,2003-06-15
158,A Trap on Lovely Street! The Almighty Eneru!,Manga Canon,2003-06-22
159,Onward Crow! To the Sacrificial Altar!,Manga Canon,2003-07-06
160,"10% Survival Rate! Satori, the Mantra Master!",Manga Canon,2003-07-13
161,The Ordeal of Spheres! Desperate Struggle in the Lost Forest!,Manga Canon,2003-07-20
162,Chopper in Danger! Former God vs. Priest Shura!,Manga Canon,2003-08-03
163,Profound Mystery! Ordeal of String and Ordeal of Love?!?,Manga Canon,2003-08-10
164,Light the Fire of Shandora! Wyper the Warrior!,Manga Canon,2003-08-17
165,"Jaya, City of Gold in the Sky! Head for God's Shrine!",Manga Canon,2003-08-24
166,"Festival on the Night Before Gold Hunting! Feelings for ""Vearth!""",Manga Canon,2003-09-07
167,Enter God Eneru! Farewell to the Survivors!,Manga Canon,2003-09-21
168,A Giant Snake Bares Its Fangs! The Survival Game Begins!,Manga Canon,2003-10-12
169,The Deadly Reject! War Demon Wyper's Resolve,Manga Canon,2003-10-19
170,Fierce Mid-Air Battle! Pirate Zoro vs. Warrior Braham,Manga Canon,2003-10-19
171,The Roaring Burn Bazooka!! Pirate Luffy vs. War Demon Wyper!,Manga Canon,2003-10-26
172,The Ordeal of Swamp! Chopper vs. Priest Gedatsu!,Manga Canon,2003-11-02
173,Unbeatable Powers! Eneru's True Form Is Revealed!,Manga Canon,2003-11-09
174,A Mystical City! The Grand Ruins of Shandora!,Manga Canon,2003-11-16
175,"0% Survival Rate! Chopper vs Ohm, the Sword Wielding Priest",Manga Canon,2003-12-21
176,Climb Giant Jack! Deadly Combat in the Upper Ruins!,Manga Canon,2004-01-11
177, The Ordeal of Iron! White Barbed Death Match!,Manga Canon,2004-01-18
178,Bursting Slash! Zoro vs. Ohm!,Manga Canon,2004-01-25
179,Collapsing Upper Ruins! The Quintet for the Finale!,Manga Canon,2004-02-01
180,Showdown in the Ancient Ruins! Sky God Eneru's Goal!,Manga Canon,2004-02-08
181,Ambition Towards the Endless Vearth! The Ark Maxim!,Manga Canon,2004-02-15
182,They Finally Clash! Pirate Luffy vs. God Eneru!,Manga Canon,2004-02-22
183,Maxim Surfaces! Deathpiea Is Activated!,Manga Canon,2004-02-29
