Ep No.,Name,Type,Date
654,Beautiful Sword! Cavendish of the White Horse!,Manga Canon,2014-07-20
655,A Big Clash! Sanji vs. Doflamingo,Manga Canon,2014-08-02
656,Rebecca's Special Attack! Last-Ditch Sword Dance!,Manga Canon,2014-08-10
657,The Most Violent Fighter! Logan vs. Rebecca!,Mixed Canon/Filler,2014-08-17
658,A Big Surprise! The True Identity of the Toy Soldier!,Manga Canon,2014-08-24
659,A Horrible Past! The Secret of Dressrosa,Manga Canon,2014-08-31
660,A Nightmare! The Tragic Night of Dressrosa!,Manga Canon,2014-09-07
661,A Showdown Between the Warlords! Law vs. Doflamingo!,Manga Canon,2014-09-14
662,Two Great Rivals Meet Each Other! Straw Hat and Heavenly Demon!,Manga Canon,2014-09-21
663,Luffy Astonished! The Man Who Inherits Ace’s Will!,Manga Canon,2014-09-28
664,Operation SOP Starts! Usoland Charges Forth!,Manga Canon,2014-10-05
665,A Burning Passion! Rebecca vs. Suleiman!,Manga Canon,2014-10-12
666,The End of the Match?! A Surprising Result of Block D!,Manga Canon,2014-10-19
667,The Admiral's Decision! Fujitora vs. Doflamingo!,Manga Canon,2014-10-26
668,The Final Round Starts! Diamante the Hero Shows Up!,Manga Canon,2014-11-02
669,A Moving Castle! The Top Executive Pica Rises Up!,Manga Canon,2014-11-08
670,Dragon Claw Strikes! Lucy's Intimidating Attack!,Manga Canon,2014-11-16
671,Defeat Sugar! The Army of the Little People Charges!,Manga Canon,2014-11-23
672,The Last Light of Hope! The Secret of Our Commander!,Manga Canon,2014-11-30
673,The Rupture Human! Gladius Blows up Big Time!,Manga Canon,2014-12-07
674,A Liar! Usoland on the Run!,Manga Canon,2014-12-14
675,A Fateful Encounter! Kyros and King Riku!,Manga Canon,2014-12-21
676,Operation Failed! Usoland the Hero Dies!?,Manga Canon,2014-12-28
677,The Legend Is Back! Kyros' All-Out Attack!,Manga Canon,2015-01-11
678,The Fire Fist Strikes! The Flare-Flare Fruit Power Returns!,Manga Canon,2015-01-18
679,"Dashing Onto the Scene! The Chief of Staff of the Revolutionary Army, Sabo!",Mixed Canon/Filler,2015-01-25
680,The Devil's Trap! A Dressrosa Extermination Plan!,Manga Canon,2015-02-01
681,The 500 Million Berry Man! Target: Usoland!,Manga Canon,2015-02-07
682,Breaking Through Enemy Lines! Luffy and Zoro Launch the Counter-Attack!,Manga Canon,2015-02-14
683,With a Rumbling of the Ground! The God of Destruction - Giant Pica Descends!,Manga Canon,2015-02-21
684,Gathering Into a Powerful Front! Luffy and a Group of Brutal Warriors!,Manga Canon,2015-02-28
685,Steady Progress! Luffy's Army vs. Pica!,Manga Canon,2015-03-07
686,A Shocking Confession! Law’s Soulful Vow!,Manga Canon,2015-03-14
687,A Big Collision! Chief of Staff - Sabo vs. Admiral Fujitora!,Manga Canon,2015-03-21
688,A Desperate Situation! Luffy Gets Caught in a Trap!,Manga Canon,2015-03-28
689,A Great Escape! Luffy's Tide-Turning Elephant Gun!,Manga Canon,2015-04-04
690,A United Front! Luffy's Breakthrough to the Victory!,Mixed Canon/Filler,2015-04-11
691,The Second Samurai! Evening Shower Kanjuro Appears,Manga Canon,2015-04-18
692,A Hard-Fought Battle Against Pica! Zoro's Deadly Attack!,Manga Canon,2015-05-10
693,The Little People's Princess! Captive Mansherry!,Manga Canon,2015-05-17
694,Invincible! A Gruesome Army of Headcracker Dolls!,Manga Canon,2015-05-24
695,Risking Their Lives! Luffy Is the Trump Card for Victory!,Manga Canon,2015-05-31
696,A Tearful Reunion! Rebecca and Kyros!,Manga Canon,2015-06-07
697,One Shot One Kill! The Man Who Will Save Dressrosa!,Manga Canon,2015-06-14
698,Anger Erupts! Luffy and Law's Ultimate Stratagem!,Manga Canon,2015-06-21
699,A Noble Family! The True Identity of Doflamingo!,Manga Canon,2015-06-28
700,The Ultimate Power! The Secret of the Op-Op Fruit!,Manga Canon,2015-07-05
701,Sad Memories! Law the Boy From the White Town!,Manga Canon,2015-07-12
702,A Celestial Dragon! Doffy's Stormy Past,Manga Canon,2015-07-19
703,A Rocky Road! Law and Corazon's Journey of Life!,Manga Canon,2015-08-02
704,The Time Is Ticking Down! Seize the Op-Op Fruit!,Manga Canon,2015-08-09
705,The Moment of Resolution! Corazon's Farewell Smile!,Manga Canon,2015-08-16
706,"Advance, Law! The Kindhearted Man's Final Fight!",Manga Canon,2015-08-23
707,To Be Free! Law's Injection Shot Blasts!,Manga Canon,2015-08-30
708,An Intense Battle! Law vs. Doflamingo!,Manga Canon,2015-09-06
709,A Decisive Battle Against the Executives! Proud Hajrudin!,Manga Canon,2015-09-13
710,The Battle of Love! The New Leader Sai vs. Baby 5!,Manga Canon,2015-09-20
711,The Man's Pride! Bellamy's Last Charge!,Manga Canon,2015-09-27
712,A Strong Wind and a Surge! Hakuba vs. Dellinger!,Manga Canon,2015-10-04
713,Barrier-Barrier! Homage God Fist Strikes!,Manga Canon,2015-10-11
714,The Healing Princess! Save Mansherry!,Manga Canon,2015-10-18
715,The Manly Duel! Señor's Elegy of Love!,Manga Canon,2015-10-25
716,Stardust of Death! Diamante's Storm of Vicious Attacks!,Manga Canon,2015-11-01
717,Trueno Bastardo! Kyros' Furious Strike!,Manga Canon,2015-11-08
718,Moving Across the Ground! The Giant Statue Pica's Surprise Maneuver!,Manga Canon,2015-11-15
719,A Decisive Battle in Midair! Zoro's New Special Secret Technique Blasts!,Manga Canon,2015-11-22
720,So Long! Bellamy's Farewell Blow!,Manga Canon,2015-11-29
721,Law Dies! Luffy's Raging Onslaught!,Manga Canon,2015-12-06
722,A Blade of Tenacity! The Gamma Knife Counterattack!,Manga Canon,2015-12-13
723,A Collision of Haki! Luffy vs. Doflamingo!,Manga Canon,2015-12-20
724,Unassailable! The Stunning Secret of Trebol!,Manga Canon,2015-12-27
725,Anger Erupts! I Will Take Everything Upon Myself!,Manga Canon,2016-01-10
726,Fourth Gear! The Phenomenal Bounce-Man!,Manga Canon,2016-01-17
727,A Massive Counterattack! Doflamingo's Awakening!,Manga Canon,2016-01-24
728,Luffy! An All-Out Leo Bazooka!,Manga Canon,2016-01-31
729,Flame Dragon King! Protect Luffy's Life!,Manga Canon,2016-02-14
730,Tears of Miracles! Mansherry's Fight!,Manga Canon,2016-02-21
731,As Long as We Breathe! Stop the Deadly Birdcage!,Mixed Canon/Filler,2016-02-28
732,Dead or Alive! A Fateful Countdown!,Manga Canon,2016-03-06
733,Attack on a Celestial! Luffy's King Kong Gun of Anger!,Manga Canon,2016-03-20
734,To Be Free! Dressrosa's Delight!,Manga Canon,2016-03-27
735,The Unheard-Of! Admiral Fujitora's Surprising Decision!,Manga Canon,2016-04-03
736,Sending a Shock Wave! The Worst Generation Goes Into Action!,Manga Canon,2016-04-10
737,The Birth of the Legend! The Adventures of the Revolutionary Warrior Sabo!,Anime Canon,2016-04-17
738,The Brothers' Bond! The Untold Story Behind Luffy and Sabo's Reunion!,Mixed Canon/Filler,2016-04-24
739,"The Strongest Creature! One of the Four Emperors - Kaido, King of the Beasts!",Manga Canon,2016-05-01
740,Fujitora Takes Action! The Complete Siege of the Straw Hats!,Manga Canon,2016-05-08
741,A State of Emergency! Rebecca Is Kidnapped!,Manga Canon,2016-05-15
742,The Bond Between Father and Daughter! Kyros and Rebecca!,Manga Canon,2016-05-22
743,"Men's Pride! Luffy vs. Fujitora, Head-to-Head!",Manga Canon,2016-05-29
744,No Way Out! Admiral Fujitora's Ruthless Pursuit!,Manga Canon,2016-06-05
745,Sons' Cups! Straw Hat Fleet Is Formed!,Manga Canon,2016-06-12
746,The Numerous Rivals Struggle Amongst Themselves! The Raging Monsters of the New World,Manga Canon,2016-06-19
747,The Silver Fortress! Luffy and Barto's Great Adventure!,Filler,2016-06-26
748,An Underground Maze! Luffy vs. the Tram Human!,Filler,2016-07-03
749,The Sword Technique Heats Up! Law and Zoro Finally Appear!,Filler,2016-07-10
750,A Desperate Situation! Luffy Fights a Battle in Extreme Heat!,Filler,2016-07-17
751,"Curtain-up on a New Adventure! Arriving at the Phantom Island, Zou!",Mixed Canon/Filler,2016-07-31
752,The New Warlord! The Legendary Whitebeard's Son Appears!,Manga Canon,2016-08-07
753,A Deadly Elephant Climb! A Great Adventure on the Back of the Giant Elephant!,Manga Canon,2016-08-21
754,A Battle Begins! Luffy vs. the Mink Tribe!,Manga Canon,2016-08-28
755,Garchu! The Straw Hats Reunite!,Manga Canon,2016-09-04
756,Start to Counterattack! Great Moves by the Twirly Hat Crew!,Manga Canon,2016-09-11
757,"A Threat Descends! The Beast Pirates, Jack!",Manga Canon,2016-09-25
758,The King of the Day! Duke Dogstorm Appears!,Manga Canon,2016-10-02
759,The King of the Night! Master Cat Viper Emerges!,Manga Canon,2016-10-09
760,The Exterminated Capital! The Twirly Hat Crew Arrive!,Manga Canon,2016-10-16
761,The Time Limit Closes In! The Bond Between the Mink Tribe and the Crew!,Manga Canon,2016-10-23
762,The Delinquent Comes Home! Emperor Big Mom's Assassins!,Manga Canon,2016-10-30
763,The Truth Behind the Disappearance! Sanji Gets a Startling Invitation!,Manga Canon,2016-11-06
764,To My Buds! Sanji's Farewell Note!,Manga Canon,2016-11-13
765,Let's Go and Meet Master Cat Viper!,Manga Canon,2016-11-20
766,Luffy's Decision! Sanji on the Brink of Quitting!,Manga Canon,2016-11-27
767,A Volatile Situation! The Dog and the Cat and the Samurai,Manga Canon,2016-12-04
768,"The Third One! Raizo of the Mist, the Ninja, Appears!",Manga Canon,2016-12-11
769,A Red Stone! A Guide to the One Piece!,Manga Canon,2016-12-18
770,The Secret of the Land of Wano! The Kozuki Family and the Poneglyphs!,Manga Canon,2016-12-25
771,A Vow Between Two Men! Luffy and Kozuki Momonosuke!,Manga Canon,2017-01-08
772,The Legendary Journey! The Dog and the Cat and the Pirate King!,Manga Canon,2017-01-15
773,The Nightmare Returns! The Invincible Jack's Fierce Attack!,Manga Canon,2017-01-22
774,A Battle to Defend Zou! Luffy and Zunesha!,Manga Canon,2017-01-29
775,Save Zunesha! The Straw Hat's Rescue Operation!,Anime Canon,2017-02-05
776,Saying Goodbye and Descending From the Elephant! Setting Out to Take Back Sanji!,Manga Canon,2017-02-12
777,To the Reverie! Princess Vivi and Princess Shirahoshi!,Mixed Canon/Filler,2017-02-19
778,To the Reverie! Rebecca and the Sakura Kingdom!,Mixed Canon/Filler,2017-02-26
779,Kaido Returns! An Imminent Threat to the Worst Generation!,Manga Canon,2017-03-05
780,A Hungry Front! Luffy and the Navy Rookies!,Filler,2017-03-19
781,The Implacable Three! A Big Chase After the Straw Hats!,Filler,2017-03-26
782,The Devil's Fist! A Show Down! Luffy vs. Grount!,Filler,2017-04-02
783,Sanji's Homecoming! Into Big Mom's Territory!,Manga Canon,2017-04-09
784,Zero and Four! Encountering Germa 66!,Manga Canon,2017-04-16
785,A Deadly Poison Crisis! Luffy and Reiju!,Manga Canon,2017-04-23
786,Totto Land! Emperor Big Mom Appears!,Manga Canon,2017-04-30
787,The Emperor's Daughter! Sanji's Fiancée - Pudding!,Manga Canon,2017-05-07
788,A Massive Attack! Mom's Hunger Pangs!,Manga Canon,2017-05-14
789,The Capital City Falls?! Big Mom and Jimbei,Mixed Canon/Filler,2017-05-21
790,The Emperor's Castle! Arriving at the Whole Cake Island!,Manga Canon,2017-05-28
791,A Mysterious Forest Full of Candies! Luffy vs. Luffy?!,Manga Canon,2017-06-04
792,Mom's Assassin! Luffy and the Seducing Woods!,Manga Canon,2017-06-11
793,A Seafaring Kingdom! Germa's King Judge!,Manga Canon,2017-06-18
794,A Battle Between Father and Son! Judge vs. Sanji!,Manga Canon,2017-06-25
795,A Giant Ambition! Big Mom and Caesar!,Manga Canon,2017-07-02
796,The Land of Souls! Mom’s Fatal Ability!,Manga Canon,2017-07-09
797,A Top Officer! The Sweet 3 General Cracker Appears!,Manga Canon,2017-07-16
798,An Enemy Worth 800 Million! Luffy vs. Thousand Armed Cracker!,Manga Canon,2017-07-23
799,An All-Out Duel! Gear Four vs. the Bis-Bis Ability!,Manga Canon,2017-07-30
800,The First and the Second Join! The Vinsmoke Family,Manga Canon,2017-08-06
801,The Benefactor's Life! Sanji and Owner Zeff!,Manga Canon,2017-08-13
802,An Angry Sanji! The Secret of Germa 66!,Manga Canon,2017-08-20
803,The Past That He Let Go Of! Vinsmoke Sanji!,Mixed Canon/Filler,2017-08-27
804,To the East Blue! Sanji's Resolute Departure!,Manga Canon,2017-09-03
805,A Battle of Limits! Luffy and the Infinite Biscuits!,Manga Canon,2017-09-17
806,The Power of Satiety! A New Gear Four Form - Tank Man!,Manga Canon,2017-09-24
807,A Heartbreaking Duel! Luffy vs. Sanji! - Part 1,Mixed Canon/Filler,2017-10-01
808,A Heartbreaking Duel! Luffy vs. Sanji! - Part 2,Manga Canon,2017-10-01
809,A Storm of Revenge! An Enraged Army Comes to Attack!,Manga Canon,2017-10-15
810,The End of the Adventure! Sanji's Resolute Proposal!,Manga Canon,2017-10-22
811,I'll Wait Here! Luffy vs. the Enraged Army!,Manga Canon,2017-10-29
812,Invading the Chateau! Reach the Road Ponegliff!,Manga Canon,2017-11-05
813,A Fateful Confrontation! Luffy and Big Mom!,Manga Canon,2017-11-12
814,Shout of the Soul! Brook and Pedro's Lightning Operation!,Manga Canon,2017-11-19
815,Goodbye! Pudding's Tearful Determination!,Manga Canon,2017-11-26
816,The History of the Left Eye! Pedro vs. Baron Tamago!,Manga Canon,2017-12-03
817,Moist Cigarette! The Night Before Sanji's Wedding!,Manga Canon,2017-12-10
818,The Undaunted Soul! Brook vs. Big Mom!,Manga Canon,2017-12-17
819,Sora's Wish! Germa's Failure - Sanji!,Manga Canon,2017-12-24
820,To Reach Sanji! Luffy's Vengeful Hell-Bent Dash!,Manga Canon,2018-01-07
821,"The Chateau in Turmoil! Luffy, to the Rendezvous!",Manga Canon,2018-01-14
822,Deciding to Say Goodbye! Sanji and His Straw Hat Bento!,Manga Canon,2018-01-21
823,The Emperor Rolls Over! Rescue Brook Mission!,Manga Canon,2018-01-28
824,"The Rendezvous! Luffy, a One-on-One at His Limit!",Manga Canon,2018-02-04
825,A Liar! Luffy and Sanji!!,Manga Canon,2018-02-11
826,Sanji Comes Back! Crash! The Tea Party From Hell!,Manga Canon,2018-02-18
827,A Secret Meeting! Luffy vs. the Fire Tank Pirates!,Manga Canon,2018-03-04
828,The Deadly Pact! Luffy & Bege's Allied Forces!,Manga Canon,2018-03-18
829,Luffy Engages in a Secret Maneuver! The Wedding Full of Conspiracies Starts Soon!,Manga Canon,2018-03-25
830,The Family Gets Together! The Hellish Tea Party Starts!,Manga Canon,2018-04-01
831,The Broken Couple! Sanji and Pudding Enter!,Manga Canon,2018-04-08
832,A Deadly Kiss! The Mission to Assassinate the Emperor Kicks Off!,Manga Canon,2018-04-15
833,Returning the Sake Cup! The Manly Jimbei Pays His Debt!,Manga Canon,2018-04-22
834,The Mission Failed?! The Big Mom Pirates Strike Back!,Manga Canon,2018-04-29
835,"Run, Sanji! SOS! Germa 66!",Manga Canon,2018-05-06
836,Mom's Secret! The Giant's Island Elbaph and a Little Monster!,Manga Canon,2018-05-13
837,The Birth of Mom! The Day That Carmel Vanished!,Manga Canon,2018-05-20
838,The Launcher Blasts! The Moment of Big Mom's Assassination!,Manga Canon,2018-05-27
839,The Evil Army! Transform! Germa 66!,Manga Canon,2018-06-03
840,Cutting the Father-Son Relationship! Sanji and Judge!,Manga Canon,2018-06-10
841,Escape From the Tea Party! Luffy vs. Big Mom!,Manga Canon,2018-06-17
842,The Execution Begins! Luffy's Allied Forces Are Annihilated?!,Manga Canon,2018-06-24
843,The Chateau Collapses! The Straw Hat's Great Escape Begins!,Manga Canon,2018-07-01
844,The Spear of Elbaph! Onslaught! The Flying Big Mom!,Manga Canon,2018-07-08
845,Pudding's Determination! Ablaze! The Seducing Woods!,Manga Canon,2018-07-15
846,A Lightning Counterattack! Nami and Zeus the Thundercloud!,Manga Canon,2018-07-22
847,A Coincidental Reunion! Sanji and the Lovestruck Evil Pudding!,Manga Canon,2018-07-29
848,Save the Sunny! Fighting Bravely! Chopper and Brook!,Manga Canon,2018-08-05
849,"Before the Dawn! Pedro, the Captain of the Guardians!",Manga Canon,2018-08-12
850,"I'll Be Back! Luffy, Deadly Departure!",Manga Canon,2018-08-19
851,"The Man With a Bounty of Billion! The Strongest Sweet General, Katakuri!",Manga Canon,2018-08-26
852,A Hard Battle Starts! Luffy vs. Katakuri!,Manga Canon,2018-09-02
853,"The Green Room! An Invincible Helmsman, Jimbei!",Manga Canon,2018-09-16
854,The Threat of the Mole! Luffy's Silent Fight!,Manga Canon,2018-09-23
855,The End of the Deadly Battle?! Katakuri's Awakening in Anger!,Manga Canon,2018-09-30
856,The Forbidden Secret! Katakuri's Merienda!,Manga Canon,2018-10-07
857,Luffy Fights Back! The Invincible Katakuri's Weak Point!,Manga Canon,2018-10-14
858,Another Crisis! Gear Four vs. Unstoppable Donuts!,Manga Canon,2018-10-21
859,"The Rebellious Daughter, Chiffon! Sanji's Big Plan for Transporting the Cake!",Manga Canon,2018-10-28
860,A Man's Way of Life! Bege and Luffy's Determination as Captains!,Manga Canon,2018-11-04
861,The Cake Sank?! Sanji and Bege's Getaway Battle!,Manga Canon,2018-11-11
862,Sulong! Carrot's Big Mystic Transformation!,Manga Canon,2018-11-18
863,Break Through! The Straw Hats' Mighty Sea Battle!,Manga Canon,2018-11-25
864,"Finally, the Clash! The Emperor of the Sea vs. the Straw Hats!",Manga Canon,2018-12-09
865,Dark King's Direct Precepts! The Battle Against Katakuri Turns Around!,Manga Canon,2018-12-16
866,"Finally He Returns! Sanji, the Man Who'll Stop the Emperor of the Sea!",Manga Canon,2018-12-23
867,Lurking in the Darkness! An Assassin Targeting Luffy!,Manga Canon,2019-01-06
868,One Man's Determination! Katakuri's Deadly Big Fight!,Manga Canon,2019-01-13
869,Wake Up! The Color of Observation Able To Top the Strongest!,Manga Canon,2019-01-20
870,A Fist of Divine Speed! Another Gear Four Application Activated!,Manga Canon,2019-01-27
871,"Finally, It's Over! The Climax of the Intense Fight Against Katakuri!",Manga Canon,2019-02-03
872,A Desperate Situation! The Iron-Tight Entrapment of Luffy!,Manga Canon,2019-02-10
873,Pulling Back From the Brink! The Formidable Reinforcements - Germa!,Manga Canon,2019-02-17
874,The Last Hope! The Sun Pirates Emerge!,Manga Canon,2019-02-24
875,A Captivating Flavor! Sanji's Cake of Happiness!,Manga Canon,2019-03-03
876,"The Man of Humanity and Justice! Jimbei, a Desperate Massive Ocean Current",Manga Canon,2019-03-17
877,The Parting Time! Pudding's Last Wish!,Manga Canon,2019-03-24
878,The World in Shock! The Fifth Emperor of the Sea Arrives!,Mixed Canon/Filler,2019-03-31
879,To the Reverie! The Straw Hats' Sworn Allies Come Together!,Mixed Canon/Filler,2019-04-07
880,Sabo Goes Into Action! All the Captains of the Revolutionary Army Appear!,Manga Canon,2019-04-14
881,Going Into Action! The Implacable New Admiral of the Fleet - Sakazuki!,Mixed Canon/Filler,2019-04-21
882,The Paramount War! The Inherited Will of the King of the Pirates!,Mixed Canon/Filler,2019-04-28
883,One Step Forward for Her Dream! Shirahoshi Goes Out in the Sun!,Mixed Canon/Filler,2019-05-05
884,I Miss Him! Vivi and Rebecca's Sentiments!,Mixed Canon/Filler,2019-05-12
885,In the Dark Recesses of the Holyland! A Mysterious Giant Straw Hat!,Mixed Canon/Filler,2019-05-19
886,The Holyland in Tumult! The Targeted Princess Shirahoshi!,Manga Canon,2019-05-26
887,An Explosive Situation! Two Emperors of the Sea Going After Luffy!,Mixed Canon/Filler,2019-06-02
888,Sabo Enraged! The Tragedy of the Revolutionary Army Officer Kuma!,Mixed Canon/Filler,2019-06-09
889,"Finally, It Starts! The Conspiracy-Filled Reverie!",Mixed Canon/Filler,2019-06-16
890,Marco! The Keeper of Whitebeard's Last Memento!,Mixed Canon/Filler,2019-06-23
891,Climbing up a Waterfall! A Great Journey Through the Land of Wano's Sea Zone!,Manga Canon,2019-06-30
892,The Land of Wano! To the Samurai Country Where Cherry Blossoms Flutter!,Manga Canon,2019-07-07
893,Otama Appears! Luffy vs. Kaido's Army!,Manga Canon,2019-07-14
894,He'll Come! The Legend of Ace in the Land of Wano!,Manga Canon,2019-07-21
895,"Side Story! The World's Greatest Bounty Hunter, Cidre!",Filler,2019-07-28
896,Side Story! Clash! Luffy vs. the King of Carbonation!,Filler,2019-08-04
897,"Save Otama! Straw Hat, Bounding Through the Wasteland!",Manga Canon,2019-08-11
898,The Headliner! Hawkins the Magician Appears!,Manga Canon,2019-08-18
899,Defeat Is Inevitable! The Strawman's Fierce Attack!,Manga Canon,2019-08-25
900,The Greatest Day of My Life! Otama and Her Sweet Red-Bean Soup!,Manga Canon,2019-09-01
901,Charging Into the Enemy's Territory! Bakura Town - Where Officials Thrive!,Manga Canon,2019-09-08
902,The Yokozuna Appears! The Invincible Urashima Goes After Okiku!,Manga Canon,2019-09-15
903,A Climatic Sumo Battle! Straw Hat vs. the Strongest Ever Yokozuna!,Manga Canon,2019-09-22
904,Luffy Rages! Rescue Otama From Danger!,Manga Canon,2019-09-29
905,Taking Back Otama! A Fierce Fight Against Holdem!,Manga Canon,2019-10-06
906,Duel! The Magician and the Surgeon of Death!,Manga Canon,2019-10-13
907,20th Anniversary Special! Romance Dawn,Filler,2019-10-20
908,The Coming of the Treasure Ship! Luffytaro Returns the Favor!,Manga Canon,2019-10-27
909,Mysterious Grave Markers! A Reunion at the Ruins of Oden Castle!,Manga Canon,2019-11-10
910,A Legendary Samurai! The Man Who Roger Admired!,Manga Canon,2019-11-17
911,Bringing Down the Emperor of the Sea! A Secret Raid Operation Begins!,Manga Canon,2019-11-24
912,"The Strongest Man in the World! Shutenmaru, the Thieves Brigade Chief!",Manga Canon,2019-12-01
913,Everyone Is Annihilated! Kaido's Furious Blast Breath!,Manga Canon,2019-12-08
914,Finally Clashing! The Ferocious Luffy vs. Kaido!,Manga Canon,2019-12-15
915,"Destructive! One Shot, One Kill - Thunder Bagua!",Manga Canon,2019-12-22
916,"A Living Hell! Luffy, Humiliated in the Great Mine!",Manga Canon,2020-01-05
917,The Holyland in Tumult! Emperor of the Sea Blackbeard Cackles!,Manga Canon,2020-01-12
918,It's On! The Special Operation To Bring Down Kaido!,Manga Canon,2020-01-19
919,Rampage! The Prisoners - Luffy and Kid!,Manga Canon,2020-01-26
920,A Great Sensation! Sanji's Special Soba!,Manga Canon,2020-02-02
921,Luxurious and Gorgeous! Wano's Most Beautiful Woman - Komurasaki!,Manga Canon,2020-02-09
922,A Tale of Chivalry! Zoro and Tonoyasu's Little Trip!,Manga Canon,2020-02-16
923,A State of Emergency! Big Mom Closes In!,Manga Canon,2020-02-23
924,The Capital in an Uproar! Another Assassin Targets Sanji!,Mixed Canon/Filler,2020-03-15
925,Dashing! The Righteous Soba Mask!,Manga Canon,2020-03-22
926,A Desperate Situation! Orochi's Menacing Oniwabanshu!,Manga Canon,2020-03-29
927,"Pandemonium! The Monster Snake, Shogun Orochi!",Manga Canon,2020-04-05
928,The Flower Falls! The Final Moment of the Most Beautiful Woman in the Land of Wano!,Manga Canon,2020-04-12
929,The Bond Between Prisoners! Luffy and Old Man Hyo!,Manga Canon,2020-04-19
930,A Lead Performer! Queen the Plague Emerges!,Manga Canon,2020-06-28
931,Climb Up! Luffy's Desperate Escape!,Manga Canon,2020-07-05
932,Dead or Alive! Queen's Sumo Inferno!,Manga Canon,2020-07-12
933,Gyukimaru! Zoro Fights a Duel on Bandit's Bridge!,Manga Canon,2020-07-19
934,A Big Turnover! The Three-Sword Style Overcomes Danger!,Manga Canon,2020-07-26
935,"Zoro, Stunned! The Shocking Identity of the Mysterious Woman!",Manga Canon,2020-08-02
936,Get the Hang of It! The Land of Wano's Haki - Ryuo!,Manga Canon,2020-08-09
937,Tonoyasu! Ebisu Town's Most Loved!,Manga Canon,2020-08-16
938,Shaking the Nation! The Identity of Ushimitsu Kozo the Chivalrous Thief!,Manga Canon,2020-08-23
939,The Straw Hats Run! Save the Captive Tonoyasu!,Manga Canon,2020-08-30
940,Zoro's Fury! The Truth About the Smile!,Manga Canon,2020-09-06
941,Toko's Tears! Orochi's Pitiless Bullets!,Manga Canon,2020-09-13
942,The Straw Hats Step In! An Uproarious Deadly Battle at the Execution Ground!,Manga Canon,2020-09-20
943,Luffy's Determination! Win Through the Sumo Inferno!,Manga Canon,2020-09-27
944,The Storm Has Come! A Raging Big Mom!,Manga Canon,2020-10-04
945,A Grudge Over Red-bean Soup! Luffy Gets Into a Desperate Situation!,Manga Canon,2020-10-11
946,Stop the Emperor of the Sea! Queen's Secret Plan!,Manga Canon,2020-10-18
947,Brutal Ammunition! The Plague Rounds Aim At Luffy!,Manga Canon,2020-10-25
948,Start Fighting Back! Luffy and the Akazaya Samurai!,Manga Canon,2020-11-01
949,We're Here To Win! Luffy's Desperate Scream!,Manga Canon,2020-11-08
950,Warriors' Dream! Luffy's Conquer of Udon!,Manga Canon,2020-11-15
951,Orochi's Hunting Party! The Ninja Group vs. Zoro!,Manga Canon,2020-11-22
952,Tension Rises in Onigashima! Two Emperors of the Sea Meet?!,Manga Canon,2020-11-29
953,Hiyori's Confession! A Reunion at Bandit's Bridge!,Manga Canon,2020-12-06
954,Its Name Is Enma! Oden’s Great Swords!,Manga Canon,2020-12-13
955,A New Alliance?! Kaido's Army Gathers!,Manga Canon,2020-12-20
956,Ticking Down to the Great Battle! The Straw Hats Go Into Combat Mode!,Manga Canon,2020-12-27
957,Big News! An Incident That Will Affect the Seven Warlords!,Manga Canon,2021-01-10
958,A Legendary Battle! Garp and Roger!,Manga Canon,2021-01-17
959,The Rendezvous Port! The Land of Wano Act Three Begins!,Manga Canon,2021-01-24
960,The Number-One Samurai in the Land of Wano! Here Comes Kozuki Oden!,Manga Canon,2021-01-31
961,Tearfully Swearing Allegiance! Oden and Kin'emon!,Manga Canon,2021-02-07
962,Changing Destiny! The Whitebeard Pirates Cast Ashore!,Manga Canon,2021-02-14
963,Oden's Determination! Whitebeard's Test!,Manga Canon,2021-02-21
964,Whitebeard's Little Brother! Oden's Great Adventure!,Manga Canon,2021-02-28
965,Crossing Swords! Roger and Whitebeard!,Manga Canon,2021-03-07
966,Roger's Wish! A New Journey!,Manga Canon,2021-03-21
967,Devoting His Life! Roger's Adventure!,Manga Canon,2021-03-28
968,The King of the Pirates Is Born! Arriving at the Last Island!,Manga Canon,2021-04-04
969,To the Land of Wano! The Roger Pirates Disband!,Manga Canon,2021-04-11
970,Sad News! The Opening of the Great Pirate Era!,Manga Canon,2021-04-18
971,Raid! Oden and the Akazaya Nine!,Manga Canon,2021-04-25
972,The End of the Battle! Oden vs. Kaido!,Manga Canon,2021-05-02
973,Boiled to Death! Oden's One-hour Struggle!,Manga Canon,2021-05-09
974,Oden Wouldn’t Be Oden if It Wasn’t Boiled!,Manga Canon,2021-05-16
975,The Castle on Fire! The Fate of the Kozuki Clan!,Manga Canon,2021-05-23
976,Back to the Present Day! 20 Years Later!,Manga Canon,2021-05-30
977,The Sea Is for Pirates! Raid! To Onigashima!,Manga Canon,2021-06-06
978,The Worst Generation Charges In! The Battle of the Stormy Sea!,Manga Canon,2021-06-13
979,Good Luck?! Leader Kin'emon's Plot!,Manga Canon,2021-06-20
980,A Tearful Promise! The Kidnapped Momonosuke!,Manga Canon,2021-06-27
981,A New Member! 'First Son of the Sea’ Jimbei!,Manga Canon,2021-07-04
982,Kaido’s Trump Card! The Tobi Roppo Appear!,Manga Canon,2021-07-11
983,The Samurai Warriors’ Earnestness! The Straw Hats Land at Onigashima!,Manga Canon,2021-07-18
984,Luffy Goes Out of Control?! Sneaking Into Kaido’s Banquet!,Manga Canon,2021-07-25
985,Thinking of Otama! Luffy's Furious Strike!,Manga Canon,2021-08-01
